order_item_id,order_id,product_id,quantity,price
1,1,139,5,71.88
2,1,446,4,317.77
3,2,112,4,146.83
4,2,240,4,363.96
5,2,41,3,134.25
6,2,302,3,88.78
7,3,299,1,337.52
8,3,61,5,473.82
9,3,415,3,404.69
10,3,68,3,308.84
11,4,344,2,216.1
12,4,13,5,54.64
13,4,473,5,315.12
14,5,462,5,399.64
15,5,153,5,300.52
16,5,105,2,14.82
17,6,431,5,51.1
18,6,302,3,88.78
19,6,229,1,352.15
20,6,207,2,354.78
21,7,199,5,34.73
22,7,250,5,467.09
23,7,139,4,71.88
24,7,393,5,469.23
25,8,299,5,337.52
26,8,201,4,67.28
27,8,309,5,463.73
28,8,447,4,442.41
29,8,5,2,378.71
30,9,468,5,161.17
31,9,41,2,134.25
32,9,489,3,339.98
33,9,153,5,300.52
34,9,63,1,369.04
35,10,147,3,82.08
36,10,313,3,109.88
37,10,28,4,257.72
38,10,352,3,162.16
39,10,145,2,117.43
40,11,28,3,257.72
41,11,232,3,329.6
42,11,71,3,449.57
43,11,186,2,83.51
44,12,288,5,78.27
45,12,211,3,434.49
46,12,33,3,200.6
47,12,32,4,390.94
48,13,282,3,163.06
49,13,244,1,374.32
50,14,163,2,427.47
51,14,47,5,283.77
52,14,447,1,442.41
53,14,315,3,313.41
54,15,409,5,212.69
55,15,4,2,141.4
56,15,123,5,66.89
57,15,230,1,186.35
58,16,161,5,145.92
59,16,212,5,84.37
60,17,353,5,474.56
61,17,59,3,240.89
62,17,347,5,272.97
63,17,463,4,243.34
64,17,10,4,369.21
65,18,1,3,81.62
66,18,457,1,384.68
67,18,369,1,117.01
68,18,241,2,98.78
69,19,335,5,154.65
70,19,345,2,168.0
71,19,320,3,310.89
72,19,111,4,445.37
73,19,430,4,375.92
74,20,477,4,20.66
75,20,245,2,290.4
76,20,355,1,364.9
77,20,396,4,297.21
78,20,156,4,128.7
79,21,266,4,186.71
80,22,209,4,285.52
81,22,375,5,444.36
82,23,36,2,145.82
83,23,207,5,354.78
84,23,462,4,399.64
85,23,120,2,391.58
86,24,62,2,252.0
87,24,124,4,129.57
88,24,6,2,392.98
89,24,481,3,60.55
90,24,102,5,227.68
91,25,216,4,368.16
92,25,156,4,128.7
93,25,14,3,394.11
94,25,313,3,109.88
95,25,130,5,134.91
96,26,232,2,329.6
97,26,16,4,30.77
98,26,399,3,399.26
99,26,161,3,145.92
100,27,419,5,126.13
101,27,132,3,158.14
102,28,53,4,352.08
103,28,68,4,308.84
104,28,56,2,127.89
105,29,464,5,446.57
106,30,435,1,65.4
107,31,443,5,133.53
108,31,272,2,352.91
109,32,470,5,400.77
110,32,260,1,8.25
111,32,84,1,138.36
